SHA        Size (MB)  Path
------------------------------------------------------------
3127521e   195.59     where_light_fades/Unfiltered/Where Light Fades-20251218T165712Z-1-001.zip
ec712506   32.56      where_light_fades/Unfiltered/Where Light Fades/Master Documents/Archive/Where_Light_Fades_Visual Guide to the Worldbuilding_.docx
226d741c   26.92      .tmp.driveupload/126471
df77a4d8   19.94      where_light_fades/Design and Technical/Soul_of_Shadow_and_Steel.pdf
da8031a5   18.24      where_light_fades/Unfiltered/Where Light Fades/Master Documents/Archive/Where_Light_Fades_Bestiary.docx
7cffd09b   15.52      where_light_fades/Design and Technical/Narrative_Integrity_Nexus_Guardian.pdf
0e944cca   15.07      _governance/09_Link/The_Link_Subsystem_Cabinet.pdf
7c776ff4   12.09      where_light_fades/Unfiltered/Where Light Fades/Visuals for Where Light Fades/Concept Art/Concept Art Collection.docx
b6df5a91   8.95       where_light_fades/Unfiltered/Where Light Fades/Visuals for Where Light Fades/Mindmaps/_Where Light Fades_ Novel Writing Guidlines.png
ea78ec0b   7.48       where_light_fades/Visuals/The_Sundered_Trio.png
1c1937df   7.31       where_light_fades/Visuals/Kaelen_Anatomy_1.png
38168753   7.00       where_light_fades/Visuals/Symbol_of_Binding.png
d396a9fe   6.96       where_light_fades/Visuals/Garrett_Psych_Profile.png
749e671b   6.75       where_light_fades/Visuals/Garrett_Profile.png
583968df   6.66       where_light_fades/Visuals/good, bu Kaelen needs long black hair.png
ef59a2e1   6.64       where_light_fades/Visuals/Serafina_Profile.png
cfbb1aa7   6.61       where_light_fades/Visuals/Kaelen_Anatomy_2.png
f50f66cd   6.56       where_light_fades/Visuals/Serafina_Psych_Profile.png
e1c21e99   6.34       .tmp.driveupload/126121
9055a8cf   6.34       .tmp.driveupload/114750
